,AreaCode,TimeZone,accuracy,city,error,formatted_address,input_string,latitude,longitude,postcode,prov,staddress,status,stnumber
0,587,America/Edmonton,1,Starland County,,LSD-09 SEC-15 TWP-031 RGE-16 MER-4,04-16-031-15W4,51.663696,-112.178396,T0J0T0,AB,Township Road 313,1,16131
1,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-30-035-17W4,93895832053296.000000,-0.000000,,,,,
2,"780,587",America/Edmonton,1,Clearwater,,LSD-09 SEC-24 TWP-040 RGE-15 MER-5,05-15-040-24W4,52.490280,-116.018948,T0M2H0,AB,Township Road 405A N/A,1,14531
3,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-14-061-03W4,93895803531864.000000,-0.000000,,,,,
4,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-06-064-11W5,93895829114744.000000,-0.000000,,,,,
5,,,1,Opportunity,,LSD-09 SEC-03 TWP-073 RGE-20 MER-4,04-20-073-03W6,55.232323,-113.060789,T0G0K0,AB,Township Road 722A N/A,1,20501
6,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-11-012-13W4,93895796563632.000000,-0.000000,,,,,
7,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-04-034-26W4,93895872645800.000000,-0.000000,,,,,
8,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-18-035-04W5,93895820879432.000000,-0.000000,,,,,
9,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-35-040-12W4,93895948451208.000000,-0.000000,,,,,
10,306,America/Regina,,Big River,,SEC26 TP59 R5 W3M,03-05-059-26W4,53.958731,-106.898502,S0J0E0,SK,Revo Lake RD,,922
11,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-10-020-06W4,93895787712736.000000,-0.000000,,,,,
12,250,America/Edmonton,,Improvement District,,LSD-09 SEC-05 TWP-039 RGE-01 MER-6,06-01-039-05W4,52.622783,-118.000000,V0A1H9,AB,Range Road 280B N/A,,43324
13,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-07-049-07W5,93895880135328.000000,-0.000000,,,,,
14,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-28-069-08W5,93895798582024.000000,-0.000000,,,,,
15,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-28-053-18W5,93895810861672.000000,-0.000000,,,,,
16,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-29-041-01W4,93895975609312.000000,-0.000000,,,,,
17,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-25-049-06W5,93895818445248.000000,-0.000000,,,,,
18,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-22-054-19W5,93895812936384.000000,-0.000000,,,,,
19,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-27-064-18W5,93895786139768.000000,-0.000000,,,,,
20,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-32-077-06W4,93895783039864.000000,-0.000000,,,,,
21,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-09-093-12W4,93895774139040.000000,-0.000000,,,,,
22,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,02-09-110-08W6,93895815476296.000000,-0.000000,,,,,
23,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-20-062-19W4,93895818464512.000000,-0.000000,,,,,
24,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-13-031-21W4,93895775126664.000000,-0.000000,,,,,
25,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-19-045-06W4,93895956744424.000000,-0.000000,,,,,
26,"780,587",America/Edmonton,1,Camrose County,,LSD-09 SEC-07 TWP-047 RGE-21 MER-4,04-21-047-07W5,53.047357,-113.025412,T0C0L0,AB,Range Road 214,1,47203
27,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-26-049-07W5,93895950385488.000000,-0.000000,,,,,
28,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-33-019-26W4,93895971569760.000000,-0.000000,,,,,
29,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-20-041-23W4,93895791511248.000000,-0.000000,,,,,
30,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-12-014-19W4,93895832584064.000000,-0.000000,,,,,
31,,,1,Red Deer County,,LSD-09 SEC-06 TWP-035 RGE-28 MER-4,04-28-035-06W5,51.976730,-113.977776,T4G1V1,AB,Range Road 285,1,35047
32,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-29-066-10W5,93895785255408.000000,-0.000000,,,,,
33,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,05-34-085-09W5,93895841924664.000000,-0.000000,,,,,
34,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-23-025-26W4,93895860971360.000000,-0.000000,,,,,
35,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-10-048-26W4,93895945347296.000000,-0.000000,,,,,
36,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-34-049-22W4,93895800551856.000000,-0.000000,,,,,
37,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-33-018-14W4,93895986685112.000000,-0.000000,,,,,
38,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-03-025-17W4,93895774406488.000000,-0.000000,,,,,
39,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-29-033-07W5,93895960219776.000000,-0.000000,,,,,
40,403,America/Edmonton,1,Red Deer County,,LSD-09 SEC-21 TWP-035 RGE-02 MER-5,05-02-035-21W4,52.028047,-114.215890,T4G0M8,AB,Range Road 23,1,35441
41,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-11-041-12W4,93895824448064.000000,-0.000000,,,,,
42,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-11-048-04W5,93895793070392.000000,-0.000000,,,,,
43,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-04-049-07W5,93895889310128.000000,-0.000000,,,,,
44,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-16-034-04W5,93895807181504.000000,-0.000000,,,,,
45,587,America/Edmonton,,Improvement District No. 12 Jasper Park,,LSD-09 SEC-16 TWP-047 RGE-01 MER-6,06-01-047-16W5,53.040165,-118.090878,T0E1E0,AB,16 HWY,,47267
46,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-23-048-08W5,93895992125064.000000,-0.000000,,,,,
47,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-27-086-09W5,93895798728504.000000,-0.000000,,,,,
48,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-22-061-08W5,93895851038360.000000,-0.000000,,,,,
49,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-29-060-05W4,93895782699592.000000,-0.000000,,,,,
50,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-31-033-04W5,93895786115216.000000,-0.000000,,,,,
51,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,15-20-049-27W4,93895808472792.000000,-0.000000,,,,,
52,250,America/Edmonton,1,Improvement District,,LSD-09 SEC-04 TWP-033 RGE-19 MER-5,05-19-033-04W5,51.818927,-116.597740,V0A1G0,AB,Range Road 191A,1,33131
53,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-33-042-07W5,93895813156304.000000,-0.000000,,,,,
54,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-22-048-27W4,93895771202256.000000,-0.000000,,,,,
55,587,America/Edmonton,1,Beaver County,,LSD-09 SEC-18 TWP-051 RGE-19 MER-4,04-19-051-18W5,53.405069,-112.779068,T0B4J1,AB,Range Road 195,1,51221
56,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-30-054-17W5,93895784651816.000000,-0.000000,,,,,
57,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-10-063-09W4,93895775581880.000000,-0.000000,,,,,
58,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-13-105-02W6,93895782382168.000000,-0.000000,,,,,
59,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,04-32-039-08W5,93895810567688.000000,-0.000000,,,,,
60,,,1,Thorhild County No. 7,,LSD-09 SEC-04 TWP-061 RGE-22 MER-4,04-22-061-04W4,54.239535,-113.225482,T0E3J0,AB,Range Road 223,1,61001
61,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,05-31-071-08W6,93895850808752.000000,-0.000000,,,,,
62,587,America/Edmonton,1,Starland,,LSD-09 SEC-07 TWP-033 RGE-20 MER-4,07-33-020-04W5,51.823940,-112.816596,T0J2X0,AB,Township Road 332 N/A,1,20501
63,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-12-025-22W4,93895981421200.000000,-0.000000,,,,,
64,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-21-045-14W4,93895772028912.000000,-0.000000,,,,,
65,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-35-047-01W4,93895980039048.000000,-0.000000,,,,,
66,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-24-049-09W5,93895801165840.000000,-0.000000,,,,,
67,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-33-049-12W5,93895808000760.000000,-0.000000,,,,,
68,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-13-050-08W5,93895822956400.000000,-0.000000,,,,,
69,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-11-110-07W6,93895901837112.000000,-0.000000,,,,,
